"Province_State","Abbrev","Code"
"Alabama","Ala.","AL"
"Alaska","Alaska","AK"
"American Samoa","Samoa","AS"
"Arizona","Ariz.","AZ"
"Arkansas","Ark.","AR"
"California","Calif.","CA"
"Colorado","Colo.","CO"
"Connecticut","Conn.","CT"
"Delaware","Del.","DE"
"District of Columbia","D.C.","DC"
"Florida","Fla.","FL"
"Georgia","Ga.","GA"
"Guam","Guam","GU"
"Hawaii","Hawaii","HI"
"Idaho","Idaho","ID"
"Illinois","Ill.","IL"
"Indiana","Ind.","IN"
"Iowa","Iowa","IA"
"Kansas","Kans.","KS"
"Kentucky","Ky.","KY"
"Louisiana","La.","LA"
"Maine","Maine","ME"
"Maryland","Md.","MD"
"Massachusetts","Mass.","MA"
"Michigan","Mich.","MI"
"Minnesota","Minn.","MN"
"Mississippi","Miss.","MS"
"Missouri","Mo.","MO"
"Montana","Mont.","MT"
"Nebraska","Nebr.","NE"
"Nevada","Nev.","NV"
"New Hampshire","N.H.","NH"
"New Jersey","N.J.","NJ"
"New Mexico","N.M.","NM"
"New York","N.Y.","NY"
"North Carolina","N.C.","NC"
"North Dakota","N.D.","ND"
"Northern Mariana Islands","N.Mar.Islands","MP"
"Ohio","Ohio","OH"
"Oklahoma","Okla.","OK"
"Oregon","Ore.","OR"
"Pennsylvania","Pa.","PA"
"Puerto Rico","P.Rico","PR"
"Rhode Island","R.I.","RI"
"South Carolina","S.C.","SC"
"South Dakota","S.D.","SD"
"Tennessee","Tenn.","TN"
"Texas","Tex.","TX"
"Utah","Utah","UT"
"Vermont","Vt.","VT"
"Virgin Islands","V.Islands","VI"
"Virginia","Va.","VA"
"Washington","Wash.","WA"
"West Virginia","W.Va.","WV"
"Wisconsin","Wis.","WI"
"Wyoming","Wyo.","WY"
